case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.050505050505050504,0.10101010101010101,0.8,1.7,0.5,1.25,0.8892641335931943,2.255046631374913,0.28858869312544444,0.1145840469097077,0.2654413084692291,0.020587283913237907,0.286028592382467,0.40060347098618065
1,0.050505050505050504,0.15151515151515152,0.8,1.7,0.5,1.25,0.8903488940974982,2.324162403613317,0.2877208847220014,0.1135881890228177,0.26649392035580616,0.018879262107294043,0.2853731824631002,0.3980338588315147
1,0.050505050505050504,0.20202020202020202,0.8,1.7,0.5,1.25,0.8913116175462126,2.3936696591624917,0.28695070596302985,0.11267414535079814,0.2674500157592943,0.01734391386720243,0.2847939296264967,0.3956339431060512
1,0.050505050505050504,0.25252525252525254,0.8,1.7,0.5,1.25,0.8921676097186769,2.463538801580118,0.28626591222505837,0.11183370669823266,0.2683196403683112,0.015961414189390965,0.28428105455770214,0.39339134601223713
1,0.050505050505050504,0.30303030303030304,0.8,1.7,0.5,1.25,0.8929301061668278,2.53374229720694,0.28565591506653776,0.11105960165919093,0.26911173271462013,0.014714395783795553,0.2838261284984157,0.39129449514303916
1,0.050505050505050504,0.35353535353535354,0.8,1.7,0.5,1.25,0.8936105644752533,2.6042546349998528,0.28511154841979724,0.11034538061077978,0.26983424419495755,0.013587634377572403,0.28342187857252993,0.3893326131579553
1,0.050505050505050504,0.40404040404040403,0.8,1.7,0.5,1.25,0.894218915007246,2.675052221173601,0.28462486799420317,0.10968531456862333,0.2704942472766566,0.01256777406618591,0.28306202134284253,0.3874956945770317
1,0.050505050505050504,0.45454545454545453,0.8,1.7,0.5,1.25,0.8947637757162864,2.7461132848932213,0.28418897942697086,0.10907430703299073,0.2710980337618238,0.011643087074581832,0.2827411208364056,0.385774473519546
1,0.050505050505050504,0.5050505050505051,0.8,1.7,0.5,1.25,0.8952526360573105,2.8174177726126497,0.28379789115415155,0.1085078171661802,0.2716512029674422,0.010803264473259267,0.28245446744070146,0.38416038574061623
1,0.050505050505050504,0.5555555555555556,0.8,1.7,0.5,1.25,0.8956920143837698,2.8889472330304184,0.2834463884929841,0.10798179283708374,0.27215874048516864,0.010039234138151058,0.2821979746233197,0.3826455274217286
1,0.050505050505050504,0.6060606060606061,0.8,1.7,0.5,1.25,0.8960875926080454,2.9606847050588487,0.2831299259135637,0.1074926122468411,0.2726250884045998,0.00934300248047244,0.28196809088507224,0.38122261249289435
1,0.050505050505050504,0.6565656565656566,0.8,1.7,0.5,1.25,0.8964443314230547,3.0326146073749713,0.28284453486155625,0.10703703301004211,0.27305420768020694,0.00870751699509208,0.28176172467529903,0.37988492984059885
1,0.050505050505050504,0.7070707070707071,0.8,1.7,0.5,1.25,0.8967665689173345,3.104722632148822,0.28258674486613233,0.10661214770950883,0.27344963340128153,0.00812654693683832,0.2815761803381199,0.37862630134938174
1,0.050505050505050504,0.7575757575757576,0.8,1.7,0.5,1.25,0.897058105024307,3.1769956419515495,0.28235351598055436,0.10621534507012499,0.2738145236597768,0.007594579770099507,0.28140910342987635,0.3774410414430411
1,0.050505050505050504,0.8080808080808081,0.8,1.7,0.5,1.25,0.8973222738540971,3.249421583090057,0.2821421809167223,0.10584427600959233,0.27415170281982854,0.007106731219377284,0.2812584340392058,0.3763239185027897
1,0.050505050505050504,0.8585858585858586,0.8,1.7,0.5,1.25,0.8975620058329915,3.3219893659306226,0.2819503953336068,0.1054968239226322,0.274463699330804,0.0066586674248928016,0.2811223667556968,0.37527011863240284
1,0.050505050505050504,0.9090909090909091,0.8,1.7,0.5,1.25,0.8977798808112711,3.394688836663623,0.281776095350983,0.10517107864133274,0.2747527798455208,0.00624653681055808,0.2809993166560789,0.3742752113879831
1,0.050505050505050504,0.9595959595959596,0.8,1.7,0.5,1.25,0.8979781739905082,3.467510646735022,0.2816174608075934,0.10486531358937284,0.27502097833218303,0.005866911513630019,0.28088788984581303,0.37333511831690663
1,0.050505050505050504,1.0101010101010102,0.8,1.7,0.5,1.25,0.8981588952274155,3.540446208649614,0.28147288381806757,0.10457796571298951,0.27527012242791177,0.005516735980404583,0.28078685840831635,0.372446083501934
1,0.050505050505050504,1.0606060606060606,0.8,1.7,0.5,1.25,0.8983238229729796,3.6134876255421284,0.28134094162161627,0.1043076178279758,0.2755018563957396,0.005193282399894722,0.28069513879563435,0.3716046465055422
1,0.050505050505050504,1.1111111111111112,0.8,1.7,0.5,1.25,0.8984745335360352,3.686627630994875,0.28122037317117177,0.10405298307077679,0.2757176614050822,0.004894111844760075,0.28061177324984227,0.370807617462769
1,0.050505050505050504,1.1616161616161615,0.8,1.7,0.5,1.25,0.8986124263590891,3.759859534642864,0.28111005891272867,0.10381289118387532,0.27591887342405214,0.0046170403736289205,0.28053591379768106,0.3700520542219912
1,0.050505050505050504,1.2121212121212122,0.8,1.7,0.5,1.25,0.8987387458787323,3.8331771741381493,0.28100900329701417,0.10358627640199874,0.2761066990180796,0.004360109425684371,0.280466808443764,0.3693352414026157
1,0.050505050505050504,1.2626262626262625,0.8,1.7,0.5,1.25,0.8988546004752462,3.906574866631008,0.280916319619803,0.10337216673700975,0.2762822292727834,0.004121559954639232,0.28040378922742265,0.36865467125756035
1,0.050505050505050504,1.3131313131313131,0.8,1.7,0.5,1.25,0.8989609789022374,3.980047369096237,0.2808312168782101,0.10316967448634809,0.2764464521264387,0.0038998097702254665,0.2803462618966642,0.3680080261757744
1,0.050505050505050504,1.3636363636363635,0.8,1.7,0.5,1.25,0.8990587645594683,4.053589843961241,0.28075298835242535,0.10297798781316489,0.2766002632834733,0.003693433676325938,0.2802936969597993,0.36739316270795186
1,0.050505050505050504,1.4141414141414141,0.8,1.7,0.5,1.25,0.8991487479577848,4.1271978082039125,0.2806810016337722,0.10279636326635105,0.2767444757825042,0.003501146092117696,0.28024562187462193,0.36680809704974
1,0.050505050505050504,1.4646464646464645,0.8,1.7,0.5,1.25,0.8992316374778818,4.20086713495469,0.28061469001769446,0.1026241191259594,0.27687982870304506,0.003321785653249176,0.28020161435629426,0.36625099167154074
1,0.050505050505050504,1.5151515151515151,0.8,1.7,0.5,1.25,0.8993080689000573,4.274593992262086,0.2805535448799541,0.1024606294744414,0.2770069945919365,0.0031543018261628686,0.2801612964180994,0.3657201433046413
1,0.050505050505050504,1.5656565656565655,0.8,1.7,0.5,1.25,0.8993786136349596,4.348374833824737,0.2804971090920323,0.1023053189069991,0.27712658627692793,0.00299774299175378,0.2801243292686817,0.36521397186059046
